scenario,corridor,variant,method,distance_nm,distance_knm
SUEZ_VAR1_service,SUEZ,service,GC,10781.569547151357,10.781569547151356
SUEZ_VAR1_service,SUEZ,service,SEA,11545.574690254874,11.545574690254874
SUEZ_VAR2_bluewater,SUEZ,bluewater,GC,11258.537215984765,11.258537215984765
SUEZ_VAR2_bluewater,SUEZ,bluewater,SEA,11981.477800845592,11.981477800845592
SUEZ_VAR3_coast,SUEZ,coast,GC,10798.192705762984,10.798192705762984
SUEZ_VAR3_coast,SUEZ,coast,SEA,11703.988282500326,11.703988282500326
CAPE_VAR1_service,CAPE,service,GC,14524.321941654558,14.524321941654557
CAPE_VAR1_service,CAPE,service,SEA,15803.020558880993,15.803020558880993
CAPE_VAR2_bluewater,CAPE,bluewater,GC,15114.290774338493,15.114290774338492
CAPE_VAR2_bluewater,CAPE,bluewater,SEA,16051.905674600695,16.051905674600697
CAPE_VAR3_coast,CAPE,coast,GC,14197.117253450053,14.197117253450052
CAPE_VAR3_coast,CAPE,coast,SEA,16073.354669396185,16.073354669396185
NSR_VAR1_service,NSR,service,GC,7309.553599287452,7.309553599287452
NSR_VAR1_service,NSR,service,SEA,8642.788082492412,8.642788082492412
NSR_VAR2_bluewater,NSR,bluewater,GC,7336.527477332609,7.336527477332609
NSR_VAR2_bluewater,NSR,bluewater,SEA,8612.98193557808,8.61298193557808
NSR_VAR3_coast,NSR,coast,GC,7265.333524592393,7.265333524592393
NSR_VAR3_coast,NSR,coast,SEA,8588.469298809518,8.588469298809517
