scenario,corridor,variant,method,distance_nm,distance_knm
SUEZ_VAR1_service,SUEZ,service,GC,11289.236575786212,11.289236575786212
SUEZ_VAR1_service,SUEZ,service,SEA,12184.331974254197,12.184331974254198
SUEZ_VAR2_bluewater,SUEZ,bluewater,GC,11766.20424461962,11.766204244619619
SUEZ_VAR2_bluewater,SUEZ,bluewater,SEA,12620.235084844915,12.620235084844914
SUEZ_VAR3_coast,SUEZ,coast,GC,11305.859734397838,11.305859734397838
SUEZ_VAR3_coast,SUEZ,coast,SEA,12342.745566499649,12.342745566499648
NSR_VAR1_service,NSR,service,GC,7817.220627922307,7.817220627922308
NSR_VAR1_service,NSR,service,SEA,9281.545366491735,9.281545366491734
NSR_VAR2_bluewater,NSR,bluewater,GC,7844.1945059674645,7.844194505967464
NSR_VAR2_bluewater,NSR,bluewater,SEA,9251.739219577403,9.251739219577402
NSR_VAR3_coast,NSR,coast,GC,7773.000553227248,7.773000553227248
NSR_VAR3_coast,NSR,coast,SEA,9227.22658280884,9.227226582808841
CAPE_VAR1_service,CAPE,service,GC,15031.988970289412,15.031988970289412
CAPE_VAR1_service,CAPE,service,SEA,16441.777842880314,16.441777842880313
CAPE_VAR2_bluewater,CAPE,bluewater,GC,15621.957802973347,15.621957802973348
CAPE_VAR2_bluewater,CAPE,bluewater,SEA,16690.662958600016,16.690662958600015
CAPE_VAR3_coast,CAPE,coast,GC,14704.784282084907,14.704784282084907
CAPE_VAR3_coast,CAPE,coast,SEA,16712.111953395506,16.712111953395507
