dest,variant,corridor,distance_nm,distance_nm_base,delta_distance_nm,days,days_base,delta_days,fuel_t,fuel_t_base,delta_fuel_t,co2_t,co2_t_base,delta_co2_t
BUSAN,CAPE_VAR1,CAPE,15198.550558684768,15634.186371280233,-435.6358125954648,45.23378142465705,46.530316581191165,-1.2965351565341123,2306.92285265751,2373.0461456407493,-66.12329298323948,7183.757763175485,7389.665697525293,-205.90793434980787
BUSAN,CAPE_VAR2,CAPE,14715.410213227822,15151.046025823287,-435.6358125954648,43.79586372984471,45.092398886378824,-1.2965351565341123,2233.58905022208,2299.71234320532,-66.12329298323993,6955.396302391557,7161.304236741366,-205.9079343498097
BUSAN,CAPE_VAR3,CAPE,14768.44524861238,15204.081061207844,-435.6358125954648,43.95370609706065,45.25024125359477,-1.2965351565341194,2241.6390109500935,2307.7623039333334,-66.12329298323993,6980.463880098591,7186.3718144484,-205.90793434980878
BUSAN,NSR_VAR1,NSR,8783.767056508628,8402.201061688691,381.56599481993726,29.279223521695428,28.00733687229564,1.2718866493997893,1112.6104938244264,1064.2788011472342,48.33169267719222,3464.669077769264,3314.164186772487,150.5048909967768
BUSAN,NSR_VAR2,NSR,10858.604281959953,10477.038287140018,381.56599481993544,36.195347606533176,34.92346095713339,1.2718866493997822,1375.4232090482608,1327.0915163710688,48.331692677191995,4283.067872976284,4132.562981979508,150.50489099677634
BUSAN,NSR_VAR3,NSR,10375.285873977478,9993.719879157543,381.56599481993544,34.584286246591596,33.312399597191806,1.2718866493997893,1314.2028773704806,1265.8711846932888,48.33169267719177,4092.427760131676,3941.9228691349012,150.50489099677498
BUSAN,SUEZ_VAR1,SUEZ,10959.98007225515,11395.615884850615,-435.6358125954648,31.494195609928592,32.74602265761671,-1.2518270476881206,1574.7097804964296,1637.3011328808357,-62.591352384406036,4903.646256465881,5098.555727790922,-194.9094713250406
BUSAN,SUEZ_VAR2,SUEZ,10959.980072255152,11395.615884850617,-435.6358125954648,31.494195609928596,32.74602265761671,-1.251827047688117,1574.7097804964299,1637.3011328808357,-62.59135238440581,4903.646256465882,5098.555727790922,-194.9094713250397
BUSAN,SUEZ_VAR3,SUEZ,11008.094516980924,11443.730329576389,-435.6358125954648,31.632455508565872,32.884282556253986,-1.2518270476881135,1581.6227754282936,1644.2141278126994,-62.59135238440581,4925.173322683706,5120.082794008746,-194.9094713250397
SHANGHAI,CAPE_VAR1,CAPE,14825.731246100995,15634.186371280233,-808.4551251792382,44.12420013720534,46.530316581191165,-2.406116443985823,2250.3342069974724,2373.0461456407493,-122.71193864327688,7007.540720590128,7389.665697525293,-382.12497693516434
SHANGHAI,CAPE_VAR2,CAPE,14342.590900644049,15151.046025823287,-808.4551251792382,42.686282442393,45.092398886378824,-2.406116443985823,2177.000404562043,2299.71234320532,-122.71193864327688,6779.179259806202,7161.304236741366,-382.12497693516434
SHANGHAI,CAPE_VAR3,CAPE,14395.625936028606,15204.081061207844,-808.4551251792382,42.84412480960895,45.25024125359477,-2.406116443985823,2185.0503652900566,2307.7623039333334,-122.71193864327688,6804.246837513236,7186.3718144484,-382.12497693516434
SHANGHAI,NSR_VAR1,NSR,9245.317077987636,8402.201061688691,843.1160162989454,30.81772359329212,28.00733687229564,2.8103867209964797,1171.0734965451006,1064.2788011472342,106.79469539786646,3646.7228682414434,3314.164186772487,332.55868146895637
SHANGHAI,NSR_VAR2,NSR,11320.154303438963,10477.038287140018,843.1160162989454,37.73384767812988,34.92346095713339,2.8103867209964832,1433.8862117689353,1327.0915163710688,106.79469539786646,4465.1216634484645,4132.562981979508,332.5586814689568
SHANGHAI,NSR_VAR3,NSR,10836.835895456488,9993.719879157543,843.1160162989454,36.1227863181883,33.312399597191806,2.8103867209964903,1372.6658800911553,1265.8711846932888,106.79469539786646,4274.481550603858,3941.9228691349012,332.55868146895637
SHANGHAI,SUEZ_VAR1,SUEZ,10587.160759671377,11395.615884850615,-808.4551251792382,30.422875746182115,32.74602265761671,-2.3231469114345984,1521.1437873091058,1637.3011328808357,-116.15734557172982,4736.8417536805555,5098.555727790922,-361.7139741103665
SHANGHAI,SUEZ_VAR2,SUEZ,10587.160759671378,11395.615884850617,-808.4551251792382,30.422875746182125,32.74602265761671,-2.3231469114345877,1521.1437873091063,1637.3011328808357,-116.15734557172937,4736.841753680556,5098.555727790922,-361.7139741103656
SHANGHAI,SUEZ_VAR3,SUEZ,10635.27520439715,11443.730329576389,-808.4551251792382,30.561135644819398,32.884282556253986,-2.3231469114345877,1528.0567822409698,1644.2141278126994,-116.15734557172959,4758.36881989838,5120.082794008746,-361.7139741103656
