scenario,variant,corridor,method,distance_nm,speed_kn,hours,days,fuel_me_t,fuel_aux_t,fuel_t,co2_t,tag
SUEZ_VAR1_GC,SUEZ_VAR1,SUEZ,GC,10775.534183125275,14.5,743.1402884913983,30.964178687141597,1393.3880409213718,154.820893435708,1548.20893435708,4821.122621587947,DEST_YOKOHAMA
SUEZ_VAR1_SEA,SUEZ_VAR1,SUEZ,SEA,11395.615884850615,14.5,785.904543782801,32.74602265761671,1473.571019592752,163.73011328808357,1637.3011328808357,5098.555727790922,DEST_YOKOHAMA
SUEZ_VAR2_GC,SUEZ_VAR2,SUEZ,GC,9057.831474156788,14.5,624.6780327004682,26.02825136251951,1171.271311313378,130.14125681259753,1301.4125681259754,4052.5987371442875,DEST_YOKOHAMA
SUEZ_VAR2_SEA,SUEZ_VAR2,SUEZ,SEA,11395.615884850617,14.5,785.9045437828012,32.74602265761671,1473.571019592752,163.73011328808357,1637.3011328808357,5098.555727790922,DEST_YOKOHAMA
SUEZ_VAR3_GC,SUEZ_VAR3,SUEZ,GC,10331.922259960867,14.5,712.5463627559219,29.689431781496747,1336.0244301673536,148.44715890748373,1484.4715890748373,4622.644528379044,DEST_YOKOHAMA
SUEZ_VAR3_SEA,SUEZ_VAR3,SUEZ,SEA,11443.730329576389,14.5,789.2227813500957,32.884282556253986,1479.7927150314295,164.42141278126994,1644.2141278126994,5120.082794008746,DEST_YOKOHAMA
CAPE_VAR1_GC,CAPE_VAR1,CAPE,GC,13998.42412118518,14.0,999.8874372275129,41.661976551146374,1916.4509213527333,208.30988275573188,2124.760804108465,6616.50514399376,DEST_YOKOHAMA
CAPE_VAR1_SEA,CAPE_VAR1,CAPE,SEA,15634.186371280233,14.0,1116.727597948588,46.530316581191165,2140.3945627347935,232.65158290595582,2373.0461456407493,7389.665697525293,DEST_YOKOHAMA
CAPE_VAR2_GC,CAPE_VAR2,CAPE,GC,14185.007377489874,14.0,1013.2148126778482,42.21728386157701,1941.9950576325425,211.08641930788505,2153.0814769404274,6704.69571919249,DEST_YOKOHAMA
CAPE_VAR2_SEA,CAPE_VAR2,CAPE,SEA,15151.046025823287,14.0,1082.2175732730918,45.092398886378824,2074.2503487734257,225.4619944318941,2299.71234320532,7161.304236741366,DEST_YOKOHAMA
CAPE_VAR3_GC,CAPE_VAR3,CAPE,GC,14479.023302102547,14.0,1034.215950150182,43.09233125625758,1982.2472377878487,215.4616562812879,2197.7088940691365,6843.665496131291,DEST_YOKOHAMA
CAPE_VAR3_SEA,CAPE_VAR3,CAPE,SEA,15204.081061207844,14.0,1086.0057900862746,45.25024125359477,2081.5110976653596,226.25120626797386,2307.7623039333334,7186.3718144484,DEST_YOKOHAMA
