variant,corridor,leg_idx,from_lat,from_lon,to_lat,to_lon,sea_nm,gc_nm,sea_minus_gc_nm,warn_count,events
CAPE_VAR1,CAPE,1,51.95,4.14,36.0,-5.6,1367.3,1043.6,323.7,0,
CAPE_VAR1,CAPE,2,36.0,-5.6,25.0,-15.0,912.7,818.1,94.6,0,
CAPE_VAR1,CAPE,3,25.0,-15.0,-34.4,18.5,4236.8,4031.3,205.4,0,
CAPE_VAR1,CAPE,4,-34.4,18.5,-25.0,60.0,2387.7,2223.9,163.8,0,
CAPE_VAR1,CAPE,5,-25.0,60.0,1.3,103.8,3712.5,2993.5,718.9,0,
CAPE_VAR1,CAPE,6,1.3,103.8,35.0,140.0,2985.3,2855.8,129.5,0,
CAPE_VAR1,CAPE,7,35.0,140.0,35.45,139.65,31.9,32.0,-0.0,0,
CAPE_VAR2,CAPE,1,51.95,4.14,36.0,-5.6,1367.3,1043.6,323.7,0,
CAPE_VAR2,CAPE,2,36.0,-5.6,14.7,-17.5,1470.6,1426.0,44.6,0,
CAPE_VAR2,CAPE,3,14.7,-17.5,-34.4,18.5,3647.8,3583.4,64.4,0,
CAPE_VAR2,CAPE,4,-34.4,18.5,-20.0,80.0,3388.9,3350.5,38.4,0,
CAPE_VAR2,CAPE,5,-20.0,80.0,1.3,103.8,2259.3,1893.6,365.6,0,
CAPE_VAR2,CAPE,6,1.3,103.8,35.0,140.0,2985.3,2855.8,129.5,0,
CAPE_VAR2,CAPE,7,35.0,140.0,35.45,139.65,31.9,32.0,-0.0,0,
CAPE_VAR3,CAPE,1,51.95,4.14,0.0,-20.0,3491.0,3340.1,151.0,0,
CAPE_VAR3,CAPE,2,0.0,-20.0,-34.4,18.5,2995.0,2984.7,10.3,0,
CAPE_VAR3,CAPE,3,-34.4,18.5,-30.0,65.0,2405.9,2361.5,44.4,0,
CAPE_VAR3,CAPE,4,-30.0,65.0,1.3,103.8,3294.9,2904.9,390.0,0,
CAPE_VAR3,CAPE,5,1.3,103.8,35.0,140.0,2985.3,2855.8,129.5,0,
CAPE_VAR3,CAPE,6,35.0,140.0,35.45,139.65,31.9,32.0,-0.0,0,
NSR_VAR1,NSR,1,51.95,4.14,68.97,33.08,1628.6,1311.4,317.2,0,
NSR_VAR1,NSR,2,68.97,33.08,70.5,58.0,538.8,524.5,14.3,0,
NSR_VAR1,NSR,3,70.5,58.0,76.0,102.0,858.1,808.5,49.5,0,
NSR_VAR1,NSR,4,76.0,102.0,75.0,130.0,541.1,422.9,118.2,0,
NSR_VAR1,NSR,5,75.0,130.0,71.0,165.0,718.0,650.4,67.6,0,
