corridor,metric,min,median,max,spread_pct
NSR,distance_sea_nm,21609.18,23450.44,23554.61,8.3
NSR,hours,1728.73,1876.03,1884.37,8.3
NSR,fuel_total_t,2348.2,2548.28,2559.6,8.3
NSR,co2_t,7312.29,7935.35,7970.6,8.3
SUEZ,distance_sea_nm,11349.25,11737.41,12261.33,7.77
SUEZ,hours,782.71,809.48,845.61,7.77
SUEZ,fuel_total_t,1594.77,1649.31,1722.93,7.77
SUEZ,co2_t,4966.1,5135.95,5365.2,7.77
CAPE,distance_sea_nm,15078.98,15265.69,15293.91,1.41
CAPE,hours,1039.93,1052.81,1054.75,1.41
CAPE,fuel_total_t,2118.86,2145.09,2149.06,1.41
CAPE,co2_t,6598.12,6679.82,6692.17,1.41
